,Image,Id,Hash,Shape,Mode,Length,Ratio,New_Whale,Id_Count
0,00022e1a.jpg,w_e15442c,b362cc79b1a623b8,"(699, 500)",L,349500,1.398,False,1
1,000466c4.jpg,w_1287fbc,b3cccc3331cc8733,"(1050, 700)",RGB,735000,1.5,False,34
2,00087b01.jpg,w_da2efe0,bc4ed0f2a7e168a8,"(1050, 368)",RGB,386400,2.8532608695652173,False,11
3,001296d5.jpg,w_19e5482,93742d9a28b35b87,"(397, 170)",RGB,67490,2.335294117647059,False,1
4,0014cfdf.jpg,w_f22f3e3,d4a1dab1c49f6352,"(700, 398)",L,278600,1.7587939698492463,False,2
5,0025e8c2.jpg,w_8b1ca89,ee1292c52c7bc627,"(1000, 652)",RGB,652000,1.5337423312883436,False,3
6,0026a8ab.jpg,w_eaad6a8,dacaa0f0bde91625,"(1050, 317)",RGB,332850,3.312302839116719,False,1
8,0035632e.jpg,w_3d0bc7a,bb0ed0b6e5a1ac31,"(843, 400)",RGB,337200,2.1075,False,10
9,0037e7d3.jpg,w_50db782,b2cccd31f2c84ce3,"(1050, 700)",RGB,735000,1.5,False,3
10,00389cd7.jpg,w_2863d51,fbc3a5782ec1c0c3,"(1050, 600)",RGB,630000,1.75,False,4
11,0042dcc4.jpg,w_6dc7db6,bf9284ecc6e56b40,"(1050, 367)",RGB,385350,2.861035422343324,False,1
12,0042ea34.jpg,w_968f2ca,e4d1996a96a5e958,"(532, 228)",RGB,121296,2.3333333333333335,False,3
13,00467ae9.jpg,w_fd1cb9d,face8521381e0fe3,"(1000, 667)",RGB,667000,1.4992503748125936,False,22
14,004a97f3.jpg,w_60759c2,bec0d338ce5a9724,"(700, 410)",L,287000,1.7073170731707317,False,3
15,004c5fb9.jpg,w_ab6bb0a,ebda94a7c23029ad,"(1050, 422)",RGB,443100,2.4881516587677726,False,3
16,005c57e7.jpg,w_79b42cd,a3508db3738c8c77,"(831, 475)",RGB,394725,1.7494736842105263,False,4
17,006d0aaf.jpg,w_c9ba30c,b580c9c3367c8d79,"(1050, 700)",RGB,735000,1.5,False,1
18,0078af23.jpg,w_e6ec8ee,b94eccd897a5e130,"(1050, 600)",RGB,630000,1.75,False,3
19,007c3603.jpg,new_whale,f39c8de3182c4bf0,"(822, 471)",L,387162,1.7452229299363058,True,810
21,008809b5.jpg,w_7e5cc5e,ae9695a3c768c0f8,"(1050, 327)",RGB,343350,3.2110091743119265,False,3
22,008baccf.jpg,w_ab6db0f,afd0f5328c2f432a,"(1050, 316)",RGB,331800,3.3227848101265822,False,5
23,0091c92b.jpg,w_bc8d634,f08f8f72322c4dc3,"(1050, 683)",RGB,717150,1.5373352855051245,False,3
24,009dca38.jpg,w_b59c523,a64bc296b5ec0ec5,"(677, 247)",RGB,167219,2.7408906882591095,False,1
25,00a29f63.jpg,w_2850471,afd2c535c81d1bc2,"(1050, 367)",RGB,385350,2.861035422343324,False,2
26,00aa021c.jpg,new_whale,92e16d1f9ec560b1,"(746, 497)",RGB,370762,1.5010060362173039,True,810
27,00ab018e.jpg,w_51969d2,eb1e85e8f227e124,"(1050, 327)",RGB,343350,3.2110091743119265,False,3
28,00ac0e86.jpg,w_4be8a3e,b18881e2ea7669de,"(1050, 525)",RGB,551250,2.0,False,2
29,00acb5a9.jpg,w_c0cfd5b,bc0dc3f2ae79188a,"(571, 245)",RGB,139895,2.330612244897959,False,5
30,00ad9219.jpg,new_whale,e19ca2718d7a5e07,"(1050, 288)",RGB,302400,3.6458333333333335,True,810
31,00af84d8.jpg,w_339c8ae,ee988566581da5ea,"(700, 500)",L,350000,1.4,False,2
32,00b2c0cd.jpg,w_7c7a78c,b94e81e0c3e1fc99,"(1050, 478)",RGB,501900,2.196652719665272,False,12
33,00b588d6.jpg,w_25871da,aec7891c27e5bca0,"(875, 500)",L,437500,1.75,False,3
34,00b7de10.jpg,w_97f5054,b9988ec780a6e7e1,"(1050, 319)",RGB,334950,3.29153605015674,False,9
35,00be7f73.jpg,w_6926f08,ea4a86b56d0e9b43,"(1050, 600)",RGB,630000,1.75,False,1
36,00be9148.jpg,w_9c70a11,ea85c36a1cbf4a94,"(1050, 600)",RGB,630000,1.75,False,2
37,00cf7bd3.jpg,w_8e4abc9,db06889bf3b130f4,"(976, 418)",RGB,407968,2.334928229665072,False,2
38,00d3d48c.jpg,w_222dcb7,ab9d85607a0f9993,"(1050, 346)",RGB,363300,3.0346820809248554,False,3
39,00d6b82e.jpg,w_36a4e8b,b6c999a2b6a56919,"(682, 391)",L,266662,1.7442455242966752,False,2
40,00ded600.jpg,new_whale,b0854f72e09da91f,"(1050, 487)",RGB,511350,2.1560574948665296,True,810
41,00eab0e6.jpg,w_886257d,9f08ecdfc2203d1b,"(671, 382)",RGB,256322,1.756544502617801,False,6
42,00ec0dcd.jpg,w_a2eb1bb,ee1bc0e5b3e4b828,"(1050, 250)",RGB,262500,4.2,False,3
43,00f22419.jpg,w_2ac8b4d,86093bb6f65992c6,"(1050, 700)",RGB,735000,1.5,False,1
44,00f4c92c.jpg,w_9ea2cc3,e9de96612a9e8561,"(1050, 700)",RGB,735000,1.5,False,13
45,0101d22b.jpg,w_af67683,be4fc0b6a5312c1d,"(949, 542)",RGB,514358,1.7509225092250922,False,4
46,010ecbb5.jpg,w_7b3f9d1,93e56a1ae5651a9a,"(563, 322)",RGB,181286,1.7484472049689441,False,1
47,010f1fe2.jpg,w_effd0ea,e35c8cb7350c4ad3,"(700, 500)",L,350000,1.4,False,1
48,011904f8.jpg,w_96b697f,ea9d9560681e87e5,"(1050, 700)",RGB,735000,1.5,False,2
49,01228da4.jpg,w_51969d2,fa85c0a2e5e8e5e8,"(1050, 307)",RGB,322350,3.420195439739414,False,3
50,012621f1.jpg,new_whale,a2c897f4b92e4749,"(417, 238)",RGB,99246,1.7521008403361344,True,810
51,01274a1e.jpg,w_c07f119,fa1d84eae0f42d25,"(1050, 600)",RGB,630000,1.75,False,1
52,01321d88.jpg,w_685466f,afcbd0b5b0348cac,"(1050, 416)",RGB,436800,2.5240384615384617,False,2
53,01496f0b.jpg,w_04c1951,ab8cc033cc38df66,"(709, 351)",RGB,248859,2.0199430199430197,False,2
54,0162c72f.jpg,w_307065e,bf4f90b48ba2e461,"(1050, 349)",RGB,366450,3.008595988538682,False,3
55,01679a6d.jpg,w_b4369cc,bf4ec0b0350b5ada,"(1050, 600)",RGB,630000,1.75,False,2
56,01692e13.jpg,w_2173953,bf8f9065380bc635,"(1050, 601)",RGB,631050,1.7470881863560732,False,2
57,0171d221.jpg,w_27cf4e2,ecc5997ba4167161,"(1050, 700)",RGB,735000,1.5,False,1
58,0175c4c1.jpg,w_aed023d,9cc1b42dc8366f1b,"(1050, 262)",RGB,275100,4.00763358778626,False,2
59,017ec31f.jpg,w_af8cad1,a6d999268c9976c6,"(1050, 600)",L,630000,1.75,False,1
60,018722ca.jpg,w_a837660,ed90c77089ec9e32,"(1050, 270)",RGB,283500,3.888888888888889,False,7
61,018f26da.jpg,w_4e68ddc,bbc2867069df8668,"(1050, 655)",RGB,687750,1.6030534351145038,False,7
62,01981e98.jpg,w_f19faeb,b3ccd8b6a538ac89,"(1050, 488)",RGB,512400,2.151639344262295,False,20
63,019cd867.jpg,w_0ead9d7,90676b9ac6a13b0f,"(1050, 525)",RGB,551250,2.0,False,3
64,01aaa81a.jpg,w_8c1ec28,f2cad98eb3851863,"(1050, 700)",RGB,735000,1.5,False,14
65,01b83639.jpg,w_7ef90f7,c5959f7e43e6a420,"(540, 308)",RGB,166320,1.7532467532467533,False,2
66,01bd341c.jpg,w_88e5933,b8439d7ce226790b,"(740, 423)",RGB,313020,1.7494089834515367,False,1
67,01be6c48.jpg,w_f18df18,8495cb343ecfd930,"(1050, 700)",RGB,735000,1.5,False,7
68,01c11eaf.jpg,w_0a71e87,a467d71d092b66e4,"(660, 472)",RGB,311520,1.3983050847457628,False,3
69,01c28f3b.jpg,w_f663b5e,9fc0d03f0b1ad4a7,"(1050, 600)",RGB,630000,1.75,False,1
70,01cf1430.jpg,w_03f060f,87e1798ed1a56d18,"(1050, 525)",RGB,551250,2.0,False,1
72,01d117c5.jpg,w_f2e9eb1,eb94e132e5689e62,"(1050, 310)",RGB,325500,3.3870967741935485,False,1
73,01d4467a.jpg,w_4114553,fe81e075a1389e4e,"(1050, 282)",RGB,296100,3.723404255319149,False,3
74,01d890d8.jpg,w_4fdaa2a,ae9a85389acef1c4,"(1050, 600)",RGB,630000,1.75,False,3
75,01daeb5a.jpg,w_55d6c4f,b2ccc1333ccdd332,"(1050, 600)",L,630000,1.75,False,1
76,01dd608b.jpg,w_12c3d3d,d305cdb32e47345c,"(995, 572)",L,569140,1.7395104895104896,False,3
77,01e25788.jpg,w_e74980b,afc0f46dc82d8335,"(1050, 291)",RGB,305550,3.6082474226804124,False,2
78,01e37453.jpg,w_778ee6e,bbced0b42dc8136c,"(1050, 630)",RGB,661500,1.6666666666666667,False,8
79,01e490cf.jpg,w_4b1fad6,aa689562e539e83e,"(1050, 700)",RGB,735000,1.5,False,2
80,01ec6749.jpg,w_1c32062,f18c9e71659a7225,"(1050, 703)",RGB,738150,1.4935988620199145,False,4
81,01ed89f6.jpg,w_67de30b,bf4bc0b6e4a4a9a8,"(1050, 551)",RGB,578550,1.9056261343012704,False,16
82,01f17a15.jpg,w_656afeb,bd8a80e45adbc47a,"(1050, 630)",RGB,661500,1.6666666666666667,False,9
83,020028b2.jpg,w_0de84f0,b8c7c338ddc232ac,"(750, 811)",RGB,608250,0.9247842170160296,False,3
84,02012946.jpg,w_9e559ff,c272985cf797a1a8,"(700, 500)",L,350000,1.4,False,1
85,02073b87.jpg,w_392bee3,a65089d7a85bb3d2,"(839, 479)",RGB,401881,1.7515657620041754,False,4
86,0217abfb.jpg,w_2c6fe6f,f08d933588d54bb3,"(840, 440)",L,369600,1.9090909090909092,False,1
87,021dc6ac.jpg,w_5384c57,d18f59b628d36748,"(1050, 700)",RGB,735000,1.5,False,4
88,02239d12.jpg,w_e115a81,bc8dc34b9234af29,"(1050, 432)",RGB,453600,2.4305555555555554,False,1
89,0237ca7a.jpg,w_8ba2066,ab98c5b33c09d336,"(1050, 600)",RGB,630000,1.75,False,7
90,024144e5.jpg,w_0f16be3,cf96c0e5398a2735,"(639, 274)",RGB,175086,2.332116788321168,False,2
91,0243ca95.jpg,w_b729b1f,bfcad6a5e0acc828,"(1050, 344)",RGB,361200,3.052325581395349,False,5
92,02453c9f.jpg,w_b074cdf,b2de8df135b14906,"(876, 584)",RGB,511584,1.5,False,14
93,024c6d37.jpg,w_73cbacd,ead991e03a1fe198,"(1050, 600)",RGB,630000,1.75,False,2
94,0252337b.jpg,w_e05ee50,fdd1802c1fb3389c,"(1050, 700)",RGB,735000,1.5,False,2
95,02529c95.jpg,w_69f4311,afcbd0b7a170ac09,"(1050, 289)",RGB,303450,3.633217993079585,False,2
96,02558f3a.jpg,w_4e68ddc,92116c9b93fc2dd8,"(1050, 700)",RGB,735000,1.5,False,7
